"names","Formula","aicc","k","logL","delta.aic"
"model402","Surv(Erad_Time, Event) ~ area + public + private + privNumb","789.13023225455","8","-386.068564403137","53.5925465950952"
"model928","Surv(Erad_Time, Event) ~ area + public + maori + privNumb + maoriNumb","789.14190459879","11","-382.641374834606","53.6042189393348"
"model1054","Surv(Erad_Time, Event) ~ landing + public + maori + privNumb + maoriNumb + public:maori","789.142593700897","12","-381.464913871725","53.6049080414423"
"model403","Surv(Erad_Time, Event) ~ area + public + private + privNumb + area:privNumb","789.214698874758","11","-382.67777197259","53.6770132153035"
"model135","Surv(Erad_Time, Event) ~ area + maori + privNumb + area:privNumb","789.255929994526","10","-383.858734228032","53.7182443350715"
"model420","Surv(Erad_Time, Event) ~ area + private + maori + maoriNumb","789.319740710372","8","-386.163318631048","53.7820550509174"
"model1052","Surv(Erad_Time, Event) ~ landing + public + private + privNumb + maoriNumb + public:private","789.337258858247","12","-381.5622464504","53.7995731987921"
"model922","Surv(Erad_Time, Event) ~ area + public + private + maori + maoriNumb + private:maori","789.357711907514","10","-383.909625184526","53.8200262480594"
"model906","Surv(Erad_Time, Event) ~ area + landing + private + privNumb + maoriNumb + area:privNumb","789.360790370748","14","-379.169603818468","53.8231047112935"
"model1042","Surv(Erad_Time, Event) ~ landing + public + private + maori + privNumb + public:private","789.374769122039","10","-383.918153791789","53.837083462584"
"model541","Surv(Erad_Time, Event) ~ public + private + privNumb + maoriNumb + public:private","789.382092723759","11","-382.761468897091","53.8444070643039"
"model123","Surv(Erad_Time, Event) ~ area + public + private + public:private","789.514871743366","6","-388.471721585969","53.9771860839107"
"model1056","Surv(Erad_Time, Event) ~ landing + private + maori + privNumb + maoriNumb + private:maori","789.538900811995","12","-381.663067427274","54.0012151525402"
"model921","Surv(Erad_Time, Event) ~ area + public + private + maori + maoriNumb + public:maori","789.603905013229","10","-384.032721737384","54.0662193537739"
"model522","Surv(Erad_Time, Event) ~ landing + public + maori + maoriNumb + public:maori","789.608891260256","9","-385.179445630128","54.0712056008009"
"model900","Surv(Erad_Time, Event) ~ area + landing + private + maori + privNumb + area:privNumb","789.795746455521","12","-381.791490249037","54.2580607960659"
"model390","Surv(Erad_Time, Event) ~ area + landing + private + privNumb + area:privNumb","789.800117583991","11","-382.970481327207","54.2624319245359"
"model1540","Surv(Erad_Time, Event) ~ area + landing + private + maori + privNumb + maoriNumb","789.820969684448","12","-381.804101863501","54.2832840249932"
"model1544","Surv(Erad_Time, Event) ~ area + public + private + maori + privNumb + maoriNumb","789.82450762935","12","-381.805870835952","54.2868219698956"
"model423","Surv(Erad_Time, Event) ~ area + private + privNumb + maoriNumb + area:privNumb","789.84510251927","13","-380.622551259635","54.307416859815"
"model1536","Surv(Erad_Time, Event) ~ area + landing + public + maori + privNumb + maoriNumb","789.922865799347","12","-381.85504992095","54.385180139892"
"model418","Surv(Erad_Time, Event) ~ area + private + maori + privNumb + private:maori","789.969880821027","9","-385.359940410514","54.4321951615723"
"model415","Surv(Erad_Time, Event) ~ area + public + privNumb + maoriNumb + area:privNumb","790.003598480097","13","-380.701799240049","54.4659128206424"
"model425","Surv(Erad_Time, Event) ~ area + maori + privNumb + maoriNumb + area:privNumb","790.004459570125","13","-380.702229785063","54.4667739106704"
"model1599","Surv(Erad_Time, Event) ~ SS + landing + public + private + maori + maoriNumb + public:private:maori","790.011127546775","18","-374.472230440054","54.4734418873197"
"model758","Surv(Erad_Time, Event) ~ dist + public + private + maori + maoriNumb + public:private:maori","790.031221467767","17","-375.765610733884","54.4935358083126"
"model412","Surv(Erad_Time, Event) ~ area + public + maori + maoriNumb","790.033214597516","8","-386.52005557462","54.4955289380609"
"model127","Surv(Erad_Time, Event) ~ area + public + privNumb + area:privNumb","790.037371544478","10","-384.249455003008","54.4996858850227"
"model410","Surv(Erad_Time, Event) ~ area + public + maori + privNumb + public:maori","790.067130598884","9","-385.408565299442","54.5294449394296"
"model1215","Surv(Erad_Time, Event) ~ dist + area + public + private + maori + privNumb + area:privNumb + public:private:maori","790.091609290981","21","-370.54580464549","54.553923631526"
